nbhd_code,system:index,UHI,UHINIGHT,UHIEQ,Buffer_UHI,NDVI,NDBI,Albedo,Impervious_surface,DEM,Count
bangalore_001,000048fb9fa4bc019ac4,0.750156666,1.088115808,1.76932964,0.921275586,0.231809841,-0.018070276,0.146158882,55.49794364,901.2274529,1
bangalore_002,00004d588f130772f365,0.203756191,1.671188323,1.222929165,0.10115347,0.354762266,-0.116869674,0.137714613,33.73283497,898.5499285,1
bangalore_003,00004615e5ed770df7ed,-0.988365828,0.723605585,0.030807146,-1.911570975,0.444096666,-0.1255761,0.140115728,15.38898797,893.4240999,3
bangalore_004,0000547d4aeb319675f6,1.504682991,2.350599942,2.523855965,1.203710393,0.177503692,-0.002764558,0.134838444,68.58498117,888.5126504,2
bangalore_005,000091bfa4523af8c713,NA,NA,NA,NA,0.317800259,-0.01982742,0.148882978,20.18986222,906.0917078,0
bangalore_006,0000f8c8076c57f8ef61,-0.28434129,0.365967577,0.734831684,-0.613008625,0.330346331,-0.082010614,0.152186301,32.36346509,909.5806185,4
bangalore_007,0000bdb40d14864fdca7,-0.259075808,1.709312791,0.760097167,-0.962013045,0.391828085,-0.107962581,0.130994342,28.67225077,936.0818988,6
bangalore_008,00003fb6f56500722950,1.451432725,1.800614752,2.4706057,1.458090282,0.202496496,-0.027719707,0.138446114,60.31256194,861.9836712,1
bangalore_009,0000196d5e1cc5c48224,0.056952544,-0.165453296,1.076125518,-0.079276709,0.297128726,-0.042195761,0.151269843,21.4702275,918.8790474,3
bangalore_010,0000aecdf3c0e83c8623,1.583444071,2.360288084,2.602617045,1.304890408,0.190502737,0.005185531,0.130191704,65.00045908,877.6916956,1
bangalore_011,00008e8bc48bb1157837,1.237013743,0.702998893,2.256186717,1.039348894,0.257267363,-0.013291615,0.151699648,33.01666484,892.4445438,1
bangalore_012,0000a689c4b14176c821,0.859271504,1.398693844,1.878444478,0.8025277,0.269517165,-0.061074666,0.144002184,55.28826997,907.4044708,3
bangalore_013,000061dfa376662560e4,NA,NA,NA,NA,0.123662332,-0.016524935,0.13902788,60.19618195,911.3799304,0
bangalore_014,00008cc9377c8f393fad,1.798333293,2.179286543,2.817506267,1.655139346,0.144138742,0.011841842,0.131947942,73.47261418,850.8372711,1
bangalore_015,0000c86acc7f368134de,0.469822289,2.408580781,1.488995264,0.152438827,0.211381282,-0.022418654,0.130786536,50.85754927,917.4515303,1
bangalore_016,000055ae4a516fdbac3b,0.033625882,0.152664866,1.052798856,-0.490386423,0.33706349,-0.055856016,0.149128627,25.63064044,879.5676679,1
bangalore_017,000016e04349c1ad4e46,NA,NA,NA,NA,0.175447191,-0.017649607,0.134419668,54.34785112,907.4315458,0
bangalore_018,0000896218dd74dcb5ef,-0.193036234,-0.287361072,0.82613674,-0.532587563,0.350382741,-0.049383979,0.151282138,21.04582434,916.059811,1
bangalore_019,0000246e74e3f15925a8,NA,NA,NA,NA,0.359708023,-0.095814383,0.147789921,26.03042495,887.1594957,0
bangalore_020,0000cdecbc10a0063a17,0.635568074,1.373946838,1.654741048,0.161605208,0.347817703,-0.074458074,0.136966284,31.80434562,914.3716143,4
bangalore_021,0000400ce5add24e2ca8,-0.33476517,1.655186921,0.684407804,-0.654965163,0.185684508,0.016983782,0.129064052,69.64621113,908.5605891,1
bangalore_022,0000e9101632131dde7d,-0.216251921,1.101315886,0.802921054,-0.70011633,0.304360243,-0.121349935,0.149259921,41.27994204,895.1521529,2
bangalore_023,00005dc4ab76d5ce97d2,1.506664388,2.428382713,2.525837362,1.284001994,0.15264591,0.04379114,0.128517231,70.00748874,881.3276253,2
bangalore_024,00002fe629941741e033,-0.044111276,0.981161755,0.975061698,-0.124913077,0.237620261,-0.025026502,0.149082571,56.19301231,899.7634531,2
bangalore_025,0000151d7c1da1210785,-0.091122779,1.65688535,0.928050195,-0.632216817,0.231502498,-0.048597112,0.135720298,57.22638134,902.3351487,3
bangalore_026,0000641932f4ed56ea6b,0.35531099,0.620611575,1.374483964,-0.171539633,0.339479379,-0.085866937,0.147140677,31.7317109,907.5099377,1
bangalore_027,0000ae6adc730416968b,0.158731225,2.16525618,1.177904199,-0.272970583,0.219872748,-0.047528334,0.126877446,51.36241719,922.1213571,1
bangalore_028,0000fc861aa9b511c7f8,0.360899123,1.167261583,1.380072097,0.05019251,0.318419657,-0.077689586,0.144685786,45.4283161,902.0581996,3
bangalore_029,0000eecb3cc707ed0373,1.389381885,2.344774443,2.408554859,1.170900295,0.215548064,-0.001957504,0.129790279,54.31510276,899.6245886,1
bangalore_030,0000cd6aa8dd88c1413d,1.195242173,2.363241365,2.214415147,1.188912671,0.207521617,-0.018931302,0.129940286,57.44123675,902.3906913,1
bangalore_031,0000648dbbb4abeed2d9,NA,NA,NA,NA,0.096000813,0.053539674,0.129731199,93.25029404,913.8012205,0
bangalore_032,0000dc68f5df489cb880,0.857325608,1.463089283,1.876498583,0.739932626,0.177452712,-0.016003975,0.146656915,68.97808693,871.8606193,2
bangalore_033,000002f8a3e92b574c53,1.40842745,0.851509015,2.427600424,1.069794485,0.246102839,-0.041273431,0.142741677,37.00236659,897.0782355,1
bangalore_034,0000e59be8da449ecf42,-0.167600652,-0.338919774,0.851572323,-0.651562763,0.380555319,-0.096813006,0.142291615,19.55803832,910.2042568,1
bangalore_035,0000f5074533ec7f8b2d,1.191879603,2.302937382,2.211052577,0.994956465,0.166271293,5.47E-05,0.127468822,76.65451958,897.3445955,1
bangalore_036,0000eea9cfc57ae3147d,-0.090984616,2.118734943,0.928188358,-0.193447908,0.175156256,0.002033654,0.129445432,69.9577047,908.2370476,1
bangalore_037,0000115ebf0d03740172,NA,NA,NA,NA,0.140982877,0.018598258,0.129551707,86.13096504,899.8778699,0
bangalore_038,00003451b5962ed5b752,1.303123071,1.596737047,2.322296045,1.395832051,0.223322576,-0.013690358,0.142125853,53.87411033,846.7341062,2
bangalore_039,00006c0a9bf77dbd56ad,1.0976143,1.637485507,2.116787274,1.04793523,0.316874526,-0.033069292,0.143064517,35.34971548,915.4429079,3
bangalore_040,000035432307e1eab8e7,0.646899217,0.825228955,1.666072191,0.516983774,0.341865604,-0.076618135,0.142150858,41.61606413,899.1578578,1
bangalore_041,00000b94d083a55ae0fc,0.610368087,2.156230938,1.629541062,0.364942676,0.144792926,0.02040601,0.127008218,76.91194423,906.3507693,2
bangalore_042,00004eb45b775e5d19c4,1.345752314,0.248703655,2.364925288,0.949952325,0.313390459,-0.001163905,0.15024158,19.22725325,882.3379972,1
bangalore_043,000016a526a1ebc6600c,-0.091703125,0.692511073,0.92746985,-0.540339805,0.365322461,-0.104661187,0.140866964,29.50802192,920.0466798,4
bangalore_044,0000615e485abb33c0ee,-0.169601898,0.035930506,0.849571076,-0.289061269,0.331255131,-0.074989909,0.151310998,37.64318678,890.691177,2
bangalore_045,0000c9afeb4fa7937649,-0.616839135,0.945940548,0.402333839,-0.537121962,0.272071735,-0.057612196,0.140118095,49.2562112,892.4474641,2
bangalore_046,0000323524ecc94534e1,NA,NA,NA,NA,0.165899127,-0.019561808,0.129141179,60.49475165,883.3535325,0
bangalore_047,0000911689e845fb847d,-0.562835446,1.177255239,0.456337528,-0.396439559,0.190357462,-0.003255855,0.143960796,65.19515507,887.8035178,1
bangalore_048,00004449ae39c7fb147b,1.689804354,2.121333304,2.708977328,1.686690819,0.211523715,-0.019142104,0.136804295,57.45921941,855.9802826,2
bangalore_049,000008619949d7fe932d,0.293482881,2.115484598,1.312655855,-0.017768667,0.225672594,-0.033232473,0.128999784,73.22102614,914.0153307,3
bangalore_050,0000215fc8f9f372a5c3,0.656733306,2.162374677,1.67590628,0.259732938,0.182294509,-0.040405217,0.134291717,48.72536177,901.8093976,1
bangalore_051,0000b83332ea7895ac02,0.262777837,1.565003064,1.281950811,0.055280459,0.31206987,-0.035948178,0.138582321,36.4737861,915.5608709,2
bangalore_052,00002045473db39633b8,0.248980031,1.618078792,1.268153005,-0.22794974,0.34267383,-0.086727078,0.135527238,40.81950708,930.3296339,2
bangalore_053,0000568e03140f9a978e,0.245437574,0.183542447,1.264610548,0.245626157,0.328918871,-0.072488417,0.147868067,42.02080588,895.5657238,2
bangalore_054,0000c07058b56ba353ea,0.449850551,2.323773929,1.469023526,0.214020045,0.151784716,0.003773277,0.130834598,83.77367365,908.8687557,1
bangalore_055,0000119c689d3bdfd31e,1.150038793,1.781100357,2.169211767,0.908785306,0.218954031,-0.039068299,0.139454046,51.61028204,873.352592,2
bangalore_056,000029efb1891bae3abd,NA,NA,NA,NA,0.303869495,-0.013524696,0.150654981,23.36226957,931.6553398,0
bangalore_057,000090dca95883e97346,1.620032623,2.312550125,2.639205598,1.416330208,0.222290611,-0.031194238,0.138636653,70.48519868,895.1686053,1
bangalore_058,00000c49ba4161fcf81b,0.238661243,1.958532395,1.257834217,0.2152327,0.133002042,-0.006258603,0.138970492,85.72961786,898.6486482,1
bangalore_059,00000da727c2fdf860f0,-1.019172974,-0.418456116,0,-1.557477105,0.418950517,-0.10051703,0.146884645,20.76520639,876.3338102,1
bangalore_060,00007a97a9323464af28,-0.316396403,0.151334217,0.702776572,-0.609356051,0.314428789,-0.033611466,0.147875603,34.67632346,892.9386848,4
bangalore_061,0000731b51244af531c9,-0.671605778,1.504032846,0.347567197,-1.297395525,0.26457447,-0.128457078,0.124733465,47.69005693,902.803643,2
bangalore_062,0000c2a27922ab373037,1.718732946,2.11029707,2.73790592,1.439674309,0.203014624,-0.031710554,0.133500402,56.47666581,860.1007419,2
bangalore_063,0000adce13fc648f9992,1.034936615,2.368600722,2.054109589,0.450732318,0.255625827,-0.052524689,0.128529709,45.35991122,898.1320694,1
bangalore_064,0000341ffc0a3ceb0851,1.181703204,1.313330348,2.200876178,0.93046384,0.27678964,-0.023092308,0.153441392,40.47535165,889.3722667,4
bangalore_065,00002981fb481a3cc599,0.611677196,1.572295179,1.63085017,0.522574432,0.249348379,-0.030131767,0.141468942,55.1994841,910.2408653,2
bangalore_066,0000e306123b7b1edadd,1.822364169,0.885624571,2.841537144,2.132419078,0.181722864,0.042480521,0.154605154,60.17316625,916.8343791,2
bangalore_067,0000058dd70b24124a73,NA,NA,NA,NA,0.387398775,-0.040171953,0.144747278,15.5742188,829.0463418,0
bangalore_068,0000f724ac51c062fa59,1.354280197,0.441054164,2.373453171,1.155763416,0.224923914,-0.007242357,0.151616422,23.70359432,881.8911154,2
bangalore_069,00001ef7d3855c26d4a3,1.359269104,1.342748703,2.378442078,1.32592397,0.198817425,-0.053031742,0.135288215,43.80911933,916.9477526,6
bangalore_070,00006d8c240f279c2d20,0.407156917,2.009349956,1.426329891,0.395936906,0.201004242,-0.022285898,0.132077232,61.06682314,898.9047588,1
bangalore_071,00007f9f5e370549bb90,0.248093564,0.616051621,1.267266539,0.543605722,0.186887151,0.006500888,0.159298237,61.35988325,895.1600395,1
bangalore_072,00004ab353e63b33d6cb,0.510025256,0.444236046,1.52919823,0.239623163,0.343309923,-0.040366816,0.157254509,24.4399121,895.8195553,3
bangalore_073,000015317d28576df3d3,1.700940936,2.378834417,2.72011391,1.315118264,0.182010003,-0.01705403,0.131917941,65.79341184,876.1211539,1
bangalore_074,0000ecc43aac883428d8,0.933122531,1.382339226,1.952295505,0.47746271,0.208879186,-0.032951807,0.147417298,56.02426293,854.4568614,1
bangalore_075,00002e5d632ed3f8aa55,-0.336750085,1.479463541,0.682422889,-0.68583223,0.269833112,-0.043621136,0.132558907,45.87069447,903.1266157,2
bangalore_076,0000a382a976f7819cf6,-0.933817293,0.714215614,0.085355681,-1.253330124,0.307424244,-0.072363521,0.142220139,38.8916217,891.5025566,3
bangalore_077,00006401fbb444ce415f,0.160133518,-0.073987563,1.179306492,-0.170820871,0.37557705,-0.057139641,0.153758991,20.09003896,886.281902,1
bangalore_078,0000c4af2e1b7abfe9d4,0.132371662,1.735216776,1.151544636,-0.199079897,0.223058106,-0.038138879,0.138267967,51.22865806,909.7761876,2
bangalore_079,0000adda567c32857552,0.632136342,1.342429623,1.651309316,0.531691028,0.266796766,-0.054214404,0.135242707,48.07631055,910.6291359,2
bangalore_080,00000be8e1cbda64365c,NA,NA,NA,NA,0.208347806,-0.012894726,0.130876864,61.09583627,877.7469437,0
bangalore_081,00005fa0f494aa8745cd,-0.952373168,1.26461545,0.066799807,-1.279240828,0.284153482,-0.047842174,0.143566899,43.01168997,891.3410871,1
bangalore_082,0000cf786cb23573e8a7,NA,NA,NA,NA,0.350059232,-0.024830392,0.157373929,17.16991999,908.8735697,0
bangalore_083,000074b1920e98da5d12,0.397203882,1.003184562,1.416376856,-0.141015244,0.311912913,-0.073519896,0.134205766,23.85042,928.3442701,1
bangalore_084,0000ef28c6444767b554,0.358589579,1.371745441,1.377762553,-0.04243042,0.273628957,-0.072126203,0.147464792,51.09118899,906.4342563,2
bangalore_085,000080818b194abbc679,NA,NA,NA,NA,0.211502196,-0.000338,0.140460636,55.09474399,920.4996337,0
bangalore_086,0000b39145dade6ebc4c,0.143423658,1.623467256,1.162596632,-0.211566799,0.311051357,-0.079239388,0.132866697,45.67932466,928.5800904,1
bangalore_087,0000a88deaedaa122dd0,0.155462113,2.177456805,1.174635088,-0.305168218,0.296129902,-0.053352466,0.129045922,37.3191789,916.5020699,2
bangalore_088,0000bee38bf93a6d2cfc,NA,NA,NA,NA,0.209836947,-0.027249252,0.136453367,57.37484418,907.6823411,0
bangalore_089,0000df80f8f5f4ec8816,-0.178315877,0.984554397,0.840857097,-0.267863708,0.282201418,-0.057562449,0.139514119,46.41592597,899.5323641,2
bangalore_090,0000e9ee6fadf50fd86d,1.09344809,0.701300928,2.112621065,0.607282844,0.294035171,-0.035766621,0.144087151,22.16560477,850.9196194,1
bangalore_091,0000ec7f22889d32c7e5,-0.673804926,1.385341183,0.345368048,-0.77807136,0.188110831,0.004429609,0.132014133,69.12943193,895.7425913,1
bangalore_092,0000fe843b55ed3e3fac,NA,NA,NA,NA,0.171096918,0.016003463,0.129908069,68.78469667,907.3888395,0
bangalore_093,000073214b6bf460b20c,0.388996829,0.553354731,1.408169803,0.239145021,0.350355977,-0.076199073,0.150514769,26.8899875,887.6968949,3
bangalore_094,0000c0d30071d14fa777,1.166525503,1.56875784,2.185698478,1.112785591,0.226204136,-0.02461861,0.144883798,56.25727238,904.3470249,1
bangalore_095,0000ee9160fb29924d5f,-0.20220714,2.097418671,0.816965834,-0.746136919,0.241746012,-0.046574521,0.129006854,61.77741794,924.9022286,2
bangalore_096,0000c4f29a59cf78eddc,NA,NA,NA,NA,0.401319247,-0.081153593,0.149521643,24.46796033,878.3540329,0
bangalore_097,00001b60ee0546640060,1.478061786,1.694111882,2.49723476,1.521253282,0.158256264,0.03394911,0.146653005,77.84050512,910.2653238,1
